review,sentiment,cleaned_reviews,Cluster
फिल्म में गानों के दृश्य में अनुष्का को माइक के सामने लक-दक कॉस्ट़्यूम में खड़े होकर गीतों के भाव को चेहरे पर लाना था।,neutral,फलम म गन क दशय म अनषक क मइक क समन लकदक कसटयम म खड हकर गत क भव क चहर पर लन थ,1
अतार्किक दृश्यों और भिड़ंत से फिल्म कमजोर हो गई है।,neutral,अतरकक दशय और भडत स फलम कमजर ह गई ह,1
डिंपल कपाड़िया लाउड परफारमेंस के बावजूद फिल्म की जरूरत पूरी करने में असफल रही हैं।,neutral,डपल कपड़य लउड परफरमस क बवजद फलम क जररत पर करन म असफल रह ह,1
डांस से जुड़ी इस फिल्म का संगीत कमजोर है।,neutral,डस स जड इस फलम क सगत कमजर ह,1
फिल्म में अनेक विसंगतियां हैं।,neutral,फलम म अनक वसगतय ह,1
यही बात इस फिल्म को सुंदर बनाती है।,neutral,यह बत इस फलम क सदर बनत ह,1
फिल्म के निर्माता और मेन लीड सचिन जोशी ने भरपूर मेहनत की है।,neutral,फलम क नरमत और मन लड सचन जश न भरपर महनत क ह,1
नायिका प्रधान होने के बावजूद यह महिला प्रधान फिल्म नहीं है।,neutral,नयक परधन हन क बवजद यह महल परधन फलम नह ह,1
"हिंदी फिल्मों में ऐसी अभिनेत्रियों की कमी है, जो अपनी देह को लेकर स्वच्छंद और मुक्त हों।",neutral,हद फलम म ऐस अभनतरय क कम ह ज अपन दह क लकर सवचछद और मकत ह,1
लेखक-निर्देशक ने फिल्म की साइड स्टोरी के रूप में विक्की की दादी और मां के बीच के अनोखे रिश्ते और आसिमा के पिता के माडर्न दृष्टिकोण को बहुत अच्छे तरीके से चित्रित किया है।,neutral,लखकनरदशक न फलम क सइड सटर क रप म वकक क दद और म क बच क अनख रशत और आसम क पत क मडरन दषटकण क बहत अचछ तरक स चतरत कय ह,1
इस फिल्म में सुगंधा की भूमिका में नंदना सेन अचंभित करती हैं।,neutral,इस फलम म सगध क भमक म नदन सन अचभत करत ह,1
फिल्म किरदारों के सहारे कथ्य के प्रभाव को बढ़ाती है।,neutral,फलम करदर क सहर कथय क परभव क बढत ह,1
हिंदी फिल्मों में किरदारों के बारे में बताने के लिए कुछ सीन खर्च करने पड़ते हैं।,neutral,हद फलम म करदर क बर म बतन क लए कछ सन खरच करन पड़त ह,1
मजेदार तथ्य है कि इस फिल्म का लेखन और निर्देशन उन्होंने अकेले किया है।,neutral,मजदर तथय ह क इस फलम क लखन और नरदशन उनहन अकल कय ह,1
"इस फिल्म में लीजा हेडन, पीयूष मिश्रा और सुब्रत दत्ता की अतिरित तारीफ करनी होगी।",neutral,इस फलम म लज हडन पयष मशर और सबरत दतत क अतरत तरफ करन हग,1
फिल्म दक्षिणी दिल्ली में सेट है।,neutral,फलम दकषण दलल म सट ह,1
धर्म पर इधर कई फिल्में आई हैं।,neutral,धरम पर इधर कई फलम आई ह,1
"जैकी के लिए वाशु ने किसी जानी - मानी हीरोइन को भी नहीं लिया , शायद यह सोचकर कि कहीं बेटा पीछे न रह जाए। सत्तर - अस्सी के दशक में अमिताभ बच्चन को लीड रोल में लेकर कई सुपरहिट फिल्में बना चुके मनमोहन देसाई की पोती वैशाली देसाई ने भी इस फिल्म से करियर की शुरुआत की। वैसे , जैकी ने कैमरा फेस करने से पहले डांस और ऐक्शन जैसी तमाम ट्रेनिंग ली , वहीं वैशाली बिना किसी तैयारी के कैमरे के सामने आईं। लेकिन कहानी में नयापन न होने और कमजोर रफ्तार की वजह से फिल्म दर्शकों को एकटक स्क्रीन में देखने के लिए मजदूर नहीं कर पाई।",neutral,जक क लए वश न कस जन  मन हरइन क भ नह लय  शयद यह सचकर क कह बट पछ न रह जए सततर  असस क दशक म अमतभ बचचन क लड रल म लकर कई सपरहट फलम बन चक मनमहन दसई क पत वशल दसई न भ इस फलम स करयर क शरआत क वस  जक न कमर फस करन स पहल डस और ऐकशन जस तमम टरनग ल  वह वशल बन कस तयर क कमर क समन आई लकन कहन म नयपन न हन और कमजर रफतर क वजह स फलम दरशक क एकटक सकरन म दखन क लए मजदर नह कर पई,1
फिल्म वर्तमान पर कटाक्ष करने के साथ अपने दौर को भी नहीं बख्शती।,neutral,फलम वरतमन पर कटकष करन क सथ अपन दर क भ नह बखशत,1
ऐसे में सलमान की इस मेगा बजट फिल्म में हर ऐसा मसाला मौजूद है जो फ्रंट क्लास और मसाला फिल्मों के शौकीनों को पसंद है।,neutral,ऐस म सलमन क इस मग बजट फलम म हर ऐस मसल मजद ह ज फरट कलस और मसल फलम क शकन क पसद ह,1
गाने फिल्म में ठूंसे गए हैं।,neutral,गन फलम म ठस गए ह,1
इस फिल्म के निर्देशक अहिशोर सोलोमन हैं।,neutral,इस फलम क नरदशक अहशर सलमन ह,1
सचिन मराठी फिल्मों और नाटकों के अच्छे निर्देशक माने जाते हैं।,neutral,सचन मरठ फलम और नटक क अचछ नरदशक मन जत ह,1
इस फिल्म में इरफान और आदिल हुसैन पैबंद की तरह नजर आते हैं।,neutral,इस फलम म इरफन और आदल हसन पबद क तरह नजर आत ह,1
"मनीष गुप्ता की 'रहस्य' हत्या की गुत्थियों को सुलझाती फिल्म है, जिसमें कुछ कलाकारों ने बेहतरीन परफॉर्मेंस की हैं।",neutral,मनष गपत क रहसय हतय क गतथय क सलझत फलम ह जसम कछ कलकर न बहतरन परफरमस क ह,1
पीरियड फिल्मों के लिए आवश्यक तत्वों को जुटाने-दिखाने में घालमेल है।,neutral,परयड फलम क लए आवशयक ततव क जटनदखन म घलमल ह,1
फिल्म का गीत-संगीत प्रभावशाली है।,neutral,फलम क गतसगत परभवशल ह,1
फिल्म में गीत-संगीत का उपयोग नहीं के बराबर है।,neutral,फलम म गतसगत क उपयग नह क बरबर ह,1
फिल्म के इस प्रहसन में बंगाली निर्देशक बने सुब्रत दत्ता ने उत्प्रेरक का काम किया है।,neutral,फलम क इस परहसन म बगल नरदशक बन सबरत दतत न उतपररक क कम कय ह,1
"फिल्म का हर कलाकार कैमरे के सामने अपने रटे रटाए डायलॉग बोलता नजर आता है। हीरो असीम मर्चेंट फिल्म में डॉक्टर बने हैं , लेकिन पूरी फिल्म में डॉक्टर कम नाकाम प्रेमी ज्यादा लगे हैं। असीम के चेहरे पर तो न कोई भाव आता है और न ही उनकी ऐक्टिंग में दम है। पूरी फिल्म ग्रेसी के आसपास है , लेकिन उनकी ऐक्टिंग भी ठहरी हुई और चेहरा बुझा - बुझा लगता है।",neutral,फलम क हर कलकर कमर क समन अपन रट रटए डयलग बलत नजर आत ह हर असम मरचट फलम म डकटर बन ह  लकन पर फलम म डकटर कम नकम परम जयद लग ह असम क चहर पर त न कई भव आत ह और न ह उनक ऐकटग म दम ह पर फलम गरस क आसपस ह  लकन उनक ऐकटग भ ठहर हई और चहर बझ  बझ लगत ह,1
"फिल्म स्टार, फिल्में, प्रोड्यूसर और डायरेक्टर का अलग ढर्रा था।",neutral,फलम सटर फलम परडयसर और डयरकटर क अलग ढरर थ,1
इस फिल्म का गीत-संगीत कमजोर है।,neutral,इस फलम क गतसगत कमजर ह,1
अभिषेक चौबे और विशाल भारद्वाज ने फिल्म की चुस्त पटकथा में रोमांच बनाए रखा है।,neutral,अभषक चब और वशल भरदवज न फलम क चसत पटकथ म रमच बनए रख ह,1
फिल्म 'अइया' की कहानी एक मराठी परिवार की लड़की मीनाक्षी यानी रानी मुखर्जी के ही इर्द गिर्द घूमती है।,neutral,फलम अइय क कहन एक मरठ परवर क लडक मनकष यन रन मखरज क ह इरद गरद घमत ह,1
फिल्म यह सवाल भी उठाती है कि क्या एक आम चेहरे-मोहरे वाला शख्स कभी सुपरस्टार नहीं बन सकता?,neutral,फलम यह सवल भ उठत ह क कय एक आम चहरमहर वल शखस कभ सपरसटर नह बन सकत,1
डांस जोनर की यह फिल्म किशोर और युवा दर्शकों की रुचि का खयाल रखती है।,neutral,डस जनर क यह फलम कशर और यव दरशक क रच क खयल रखत ह,1
नोलान की पिछली फिल्मों की तरह इस फिल्म में भी नकारात्मक चरित्र नायक पर भारी रहा है।,neutral,नलन क पछल फलम क तरह इस फलम म भ नकरतमक चरतर नयक पर भर रह ह,1
मंजुनाथ का व्यक्तित्व इस फिल्म के माध्यम सक हमारे जमीर को झकझोरता है।,neutral,मजनथ क वयकततव इस फलम क मधयम सक हमर जमर क झकझरत ह,1
उन्नीसवीं सदी की मुंबई की बोली और माहौल रचने में भी फिल्म की टीम की मेहनत सराहनीय है।,neutral,उननसव सद क मबई क बल और महल रचन म भ फलम क टम क महनत सरहनय ह,1
वैसे पिछली फिल्म में भी उत्पल दत्त और एके हंगल थिएटर की पृष्ठभूमि के थे।,neutral,वस पछल फलम म भ उतपल दतत और एक हगल थएटर क पषठभम क थ,1
अग्ली' की कुरूपता समझने के लिए इन गीतों को फिल्म देखने के पहले या बाद में सुन लें तो पूरा नजरिया और संदर्भ मिल जाएगा।,neutral,अगल क करपत समझन क लए इन गत क फलम दखन क पहल य बद म सन ल त पर नजरय और सदरभ मल जएग,1
कथा विस्तार नहीं होने से फिल्म की रोचकता गहरी नहीं हो पाती।,neutral,कथ वसतर नह हन स फलम क रचकत गहर नह ह पत,1
इस फिल्म में शिल्पगत समस्याएं हैं।,neutral,इस फलम म शलपगत समसयए ह,1
छोटी सी कहानी होने के बावजूद डायरेक्टर दर्शकों को एंड तक फिल्म से बांध नहीं पाते,neutral,छट स कहन हन क बवजद डयरकटर दरशक क एड तक फलम स बध नह पत,1
उनके समर्थन और सहयोग से बनी कुछ फिल्में चर्चित भी हुई है।,neutral,उनक समरथन और सहयग स बन कछ फलम चरचत भ हई ह,1
"निर्देशक जैगम इमाम ने अपने ही लिखे उपन्यास 'दोजख' पर बनाई है यह फिल्म और इसका टाइटल भी इसके नाम पर ही रखा है, दोजख : इन सर्च ऑफ हेवेन।",neutral,नरदशक जगम इमम न अपन ह लख उपनयस दजख पर बनई ह यह फलम और इसक टइटल भ इसक नम पर ह रख ह दजख  इन सरच ऑफ हवन,1
"फिल्म में कहानी के नाम पर बॉलिवुड की दो सदाबहार सुपर हिट फिल्मों शोले और लगान का कचूमर निकाला गया है। अगर आप यह फिल्म देखने जा रहे हैं , तो इसमें कहानी मत तलाशिए।",neutral,फलम म कहन क नम पर बलवड क द सदबहर सपर हट फलम शल और लगन क कचमर नकल गय ह अगर आप यह फलम दखन ज रह ह  त इसम कहन मत तलशए,1
स्वानंद किरकिरे और विशाल भारद्वाज ने अपने संगीत से फिल्म के मूल भाव को गहराई दी है।,neutral,सवनद करकर और वशल भरदवज न अपन सगत स फलम क मल भव क गहरई द ह,1
आठवें-नौवें दशक की मसाला फिल्मों में नायक-खलनायक की जबरदस्त मुठभेड़ और डॉयलॉगबाजी होती थी।,neutral,आठवनव दशक क मसल फलम म नयकखलनयक क जबरदसत मठभड़ और डयलगबज हत थ,1
तब्बू का अभिनय फिल्म के लिए उचित है।,neutral,तबब क अभनय फलम क लए उचत ह,1
"आशु त्रिखा की फिल्म 'कोयलांचल' कुख्यात कोल माफिया की जमीन को टटोलती हुई एक ऐसे किरदार की कहानी कहती है, जिसकी क्रूरता एक शिशु की मासूम प्रतिक्रियाओं से बदल जाती है।",neutral,आश तरख क फलम कयलचल कखयत कल मफय क जमन क टटलत हई एक ऐस करदर क कहन कहत ह जसक कररत एक शश क मसम परतकरयओ स बदल जत ह,1
क्या यही सच है आत्मकथात्मक फिल्मों की कड़ी में बनी ईमानदार फिल्म है।,neutral,कय यह सच ह आतमकथतमक फलम क कड म बन ईमनदर फलम ह,1
सुसी गणेश ने अपनी तमिल फिल्म 'थिरूट्टु पायले' को हिंदी में 'शॉर्टकट रोमिया' टायटल के साथ पेश किया है।,neutral,सस गणश न अपन तमल फलम थरटट पयल क हद म शरटकट रमय टयटल क सथ पश कय ह,1
नागेश कुकुनूर ने एक सच्ची कहानी पर यह फिल्म बनाई है।,neutral,नगश ककनर न एक सचच कहन पर यह फलम बनई ह,1
यों नैतिकता के दबाव में निर्देशक ने फिल्म का क्लाइमेक्स रचा है।,neutral,य नतकत क दबव म नरदशक न फलम क कलइमकस रच ह,1
"सनी लियोन पॉर्न स्टार रही हैं, शायद ये बात निर्देशक के दिमाग में फिल्म बनाते समय हमेशा घूमती रही।",neutral,सन लयन परन सटर रह ह शयद य बत नरदशक क दमग म फलम बनत समय हमश घमत रह,1
उस फिल्म का नायक तीन लड़कियों से मिलता है।,neutral,उस फलम क नयक तन लडकय स मलत ह,1
कुल मिला कर 'तेवर' शुद्ध मसाला फिल्मों के मानदंड पर खरी उतरती है।,neutral,कल मल कर तवर शदध मसल फलम क मनदड पर खर उतरत ह,1
"साधारण फिल्मों में भी कुछ दृश्य, गीत और सिक्वेंस मिल जाते हैं,जिसे दर्शकों का मन बहल जाता है।",neutral,सधरण फलम म भ कछ दशय गत और सकवस मल जत हजस दरशक क मन बहल जत ह,1
हालांकि फिल्म स्टार्स के नाम पर फिल्म में कई चर्चित चेहरे हैं।,neutral,हलक फलम सटरस क नम पर फलम म कई चरचत चहर ह,1
किसी भी पूर्वधारणा से बचाने के लिए फिल्म में परिचित कलाकारों को नहीं लिया गया है।,neutral,कस भ परवधरण स बचन क लए फलम म परचत कलकर क नह लय गय ह,1
"फिल्म का अप्रोच कॉमिकल है और विषय राजनीतिक मुद्दे की अधूरी समझ से गढ़ा गया है, इसलिए फिल्म का घालमेल निराश करता है।",neutral,फलम क अपरच कमकल ह और वषय रजनतक मदद क अधर समझ स गढ गय ह इसलए फलम क घलमल नरश करत ह,1
फिल्म को तो लोग ज्यादा पसंद कर नहीं रहे,neutral,फलम क त लग जयद पसद कर नह रह,1
"हिंदी फिल्मों में स्क्रिप्ट लेखन का यह खास कौशल है, जो पॉपुलर स्टार की फिल्मों में आजमाया जाता है।",neutral,हद फलम म सकरपट लखन क यह खस कशल ह ज पपलर सटर क फलम म आजमय जत ह,1
"फिल्म के तकनीकी पक्ष में अधिक मेहनत नहीं की गई है, इसलिए पूरी कोशिश साधारण रह जाती है।",neutral,फलम क तकनक पकष म अधक महनत नह क गई ह इसलए पर कशश सधरण रह जत ह,1
अनुराग कश्यप की ‘बॉम्बे वेल्वेट’ हिंदी की बेहतरीन फिल्मों में शुमार होगी।,neutral,अनरग कशयप क बमब वलवट हद क बहतरन फलम म शमर हग,1
रजनीश ठाकुर की फिल्म मेरे दोस्त पिक्चर अभी है का विषय रोचक और प्रासंगिक है।,neutral,रजनश ठकर क फलम मर दसत पकचर अभ ह क वषय रचक और परसगक ह,1
"दरअसल, इस गीत के बोल में अनुराग कश्यप की फिल्म का सार है।",neutral,दरअसल इस गत क बल म अनरग कशयप क फलम क सर ह,1
"और हां, हिमेश रेशमिया की गायकी और मौसिकी भी हैं इस फिल्म में।",neutral,और ह हमश रशमय क गयक और मसक भ ह इस फलम म,1
3 डी रूपांतरण के साथ फिल्म के गीत और पाश्‌र्र्व संगीत को रिक्रिएट किया गया है।,neutral, ड रपतरण क सथ फलम क गत और पशररव सगत क रकरएट कय गय ह,1
वे इस फिल्म में भी सफल हैं।,neutral,व इस फलम म भ सफल ह,1
गट्टू अत्यंत मासूम फिल्म है।,neutral,गटट अतयत मसम फलम ह,1
पटकथा के बिखराव से फिल्म का रोमांच भी कम होता है।,neutral,पटकथ क बखरव स फलम क रमच भ कम हत ह,1
फिल्म के मुताबिक राजा रवि वर्मा की आर्थिक मदद से ही फालके फिल्म निर्माण में सक्रिय हुए थे।,neutral,फलम क मतबक रज रव वरम क आरथक मदद स ह फलक फलम नरमण म सकरय हए थ,1
"फिल्म में खामोशी, खामोशी का शोर और खामोशी का जहां जैसे शब्दों का प्रयोग बार-बार हुआ है।",neutral,फलम म खमश खमश क शर और खमश क जह जस शबद क परयग बरबर हआ ह,1
"कांजीवरम', 'विरासत', 'हेरा फेरी', 'भूल भुलैया', 'हंगामा', 'हलचल' और 'गर्दिश' जैसी फिल्मों के निर्देशन कर चुके प्रियदर्शन से इस तरह के सिनेमा की उम्मीद तो बिल्कुल भी नहीं है।",neutral,कजवरम वरसत हर फर भल भलय हगम हलचल और गरदश जस फलम क नरदशन कर चक परयदरशन स इस तरह क सनम क उममद त बलकल भ नह ह,1
"इस फिल्म में हालांकि अनेक किरदार हैं, लेकिन गौर करें तो मुख्तार के इर्द-गिर्द ही कहानी चलती है।",neutral,इस फलम म हलक अनक करदर ह लकन गर कर त मखतर क इरदगरद ह कहन चलत ह,1
"इतने बरस बाद राजेश खन्ना की वापसी तो हुई , पर वह काफी निराशाजनक रही। समझ में यह बात नहीं आती कि अपने समय के सुपर स्टार रहे राजेश खन्ना की ऐसी कौन-सी मजबूरी थी कि उन्होंने यह फिल्म साइन की। इस फिल्म में 22 साल की खूबसूरत सारा खान ने 70 साल के काका से शानदार मुकाबला किया है। कह सकते हैं कि काका को कैमरा फेस करने से पहले कुछ तैयारी करनी चाहिए थी।",neutral,इतन बरस बद रजश खनन क वपस त हई  पर वह कफ नरशजनक रह समझ म यह बत नह आत क अपन समय क सपर सटर रह रजश खनन क ऐस कनस मजबर थ क उनहन यह फलम सइन क इस फलम म  सल क खबसरत सर खन न  सल क कक स शनदर मकबल कय ह कह सकत ह क कक क कमर फस करन स पहल कछ तयर करन चहए थ,1
फिल्में में कथ्य और विषय-वस्तु के तौर पर कोई नयापन नहीं है।,neutral,फलम म कथय और वषयवसत क तर पर कई नयपन नह ह,1
"फिल्म उन लोगों की सोच पर करारा व्यंग्य करती है , जो जनता को सिर्फ वोट हासिल करने और सत्ता प्राप्ति का एक जरिया समझते हैं।",neutral,फलम उन लग क सच पर करर वयगय करत ह  ज जनत क सरफ वट हसल करन और सतत परपत क एक जरय समझत ह,1
इस जटिल समस्या का फिल्म के कुछ किरदारों में सरलीकरण कर लेखक-निर्देशक ने हल खोज लिया है।,neutral,इस जटल समसय क फलम क कछ करदर म सरलकरण कर लखकनरदशक न हल खज लय ह,1
फिल्म का प्रेजन्टेशन दर्शाता है कि ये फिल्म भी जेम्स बॉन्ड मूवी की तरह ही सफल सीरीज बनती जा रही है।,neutral,फलम क परजनटशन दरशत ह क य फलम भ जमस बनड मव क तरह ह सफल सरज बनत ज रह ह,1
फिल्म के बेकग्राउंड में एक बात और निकलकर सामने आती है कि कूपर और डेनिएला की पर्सनालिटी बिलकुल अलग है।,neutral,फलम क बकगरउड म एक बत और नकलकर समन आत ह क कपर और डनएल क परसनलट बलकल अलग ह,1
फटा पोस्टर निकला हीरो' आठवें-नौवें दशक की फार्मूला फिल्मों की लीक पर चलती है।,neutral,फट पसटर नकल हर आठवनव दशक क फरमल फलम क लक पर चलत ह,1
मॉरीशस की लोकेशन से फिल्म में खूबसूरती आ गई है।,neutral,मरशस क लकशन स फलम म खबसरत आ गई ह,1
इस साधारण फिल्म में लोकप्रिय कलाकारों की आवाज का सदुपयोग नहीं हो सका है।,neutral,इस सधरण फलम म लकपरय कलकर क आवज क सदपयग नह ह सक ह,1
डीनो फिल्म में विलेन बनकर रह गए,neutral,डन फलम म वलन बनकर रह गए,1
शोले' अपने समय की मल्टीस्टारर फिल्म थी।,neutral,शल अपन समय क मलटसटरर फलम थ,1
स्टारों के प्रभाव से फिल्म को बचाने की जोखिम में वाई. पी. सिंह ने साधारण कलाकारों से काम लिया है।,neutral,सटर क परभव स फलम क बचन क जखम म वई प सह न सधरण कलकर स कम लय ह,1
हॉरर और सेक्स के मेल से आम दर्शकों के मनोरंजन के लिए बनी यह फिल्म अपने मकसद में सफल रहती है।,neutral,हरर और सकस क मल स आम दरशक क मनरजन क लए बन यह फलम अपन मकसद म सफल रहत ह,1
फिल्म का एक गाना 'कभी जो बादल बरसे' लोगों के जहन में रहेगा।,neutral,फलम क एक गन कभ ज बदल बरस लग क जहन म रहग,1
"हिम्मतवाला में वे पिछली फिल्मों से ज्यादा सरल, सतही, तर्कहीन और फूहड़ अंदाज में अपने किरदारों को लेकर आए हैं।",neutral,हममतवल म व पछल फलम स जयद सरल सतह तरकहन और फहड़ अदज म अपन करदर क लकर आए ह,1
सामान्य फिल्मों में ऐसे दृश्य और व्यवहार देखे जा चुके हैं।,neutral,समनय फलम म ऐस दशय और वयवहर दख ज चक ह,1
इस फिल्म में रामू ने अपनी ही फिल्म रंगीला के एक गीत का अत्यंत प्रासंगिक  उपयोग  किया है।,neutral,इस फलम म रम न अपन ह फलम रगल क एक गत क अतयत परसगक  उपयग  कय ह,1
अगर उसे नजरअंदाज कर दें तो बिट्टू बॉस  रोचक और मनोरंजक फिल्म है।,neutral,अगर उस नजरअदज कर द त बटट बस  रचक और मनरजक फलम ह,1
विक्की डोनर दर्शनीय फिल्म है।,neutral,वकक डनर दरशनय फलम ह,1
कारण कि इस फिल्म में ऐसा कुछ नहीं जो उनकी पुरानी फिल्मों की याद दिलाए।,neutral,करण क इस फलम म ऐस कछ नह ज उनक परन फलम क यद दलए,1
फिल्म के नायक या मुख्य अभिनेता परेश रावल हैं।,neutral,फलम क नयक य मखय अभनत परश रवल ह,1
इस फिल्म की कॉमेडी आनी वास्तविकता और यथार्थपूर्ण चित्रण से ब्लैक कॉमेडी की ओर सरकती दिखती है।,neutral,इस फलम क कमड आन वसतवकत और यथरथपरण चतरण स बलक कमड क ओर सरकत दखत ह,1
"इंडस्ट्री में ऐसे कम ही लोग मिलेंगे , जो अपनी पूरी हो चुकी फिल्म को सिर्फ एक स्टार की वजह से डिब्बे में बंद कर देते हैं।",neutral,इडसटर म ऐस कम ह लग मलग  ज अपन पर ह चक फलम क सरफ एक सटर क वजह स डबब म बद कर दत ह,1
फिल्म डायरेक्टर और टीवी शो में जज बने मोहनीश बहल ने निराश किया।,neutral,फलम डयरकटर और टव श म जज बन महनश बहल न नरश कय,1
फिर भी क्लासिक फिल्मों के रीमेक से बेहतर प्रयास उसका रिस्टोरेशन या रूपांतरण है।,neutral,फर भ कलसक फलम क रमक स बहतर परयस उसक रसटरशन य रपतरण ह,1
अफसोस फिल्म में सलमान और अजय देवगन के बीच में वह खोकर रह गईं।,neutral,अफसस फलम म सलमन और अजय दवगन क बच म वह खकर रह गई,1
शहर की खूबसूरती और भव्यता भी फिल्म में प्रभाव में सहायक बनती है।,neutral,शहर क खबसरत और भवयत भ फलम म परभव म सहयक बनत ह,1
पिछले कुछ अर्से से हर चौथी मेगा बजट मल्टिस्टारर फिल्म से प्रीतम का नाम जुड़ता है। ऐसे में उनके संगीत से अब मेलोडी गायब होने लगी है। फिल्म का गाना क्यूं पैसे पे तू मरती है को छोड़ दिया जाए तो बाकी सभी गाने समझ से परे हैं।,neutral,पछल कछ अरस स हर चथ मग बजट मलटसटरर फलम स परतम क नम जडत ह ऐस म उनक सगत स अब मलड गयब हन लग ह फलम क गन कय पस प त मरत ह क छड दय जए त बक सभ गन समझ स पर ह,1
फिल्म का निर्देशन खराब है और कंटीन्यूटी तक का भी ख्याल नहीं रखा गया है।,neutral,फलम क नरदशन खरब ह और कटनयट तक क भ खयल नह रख गय ह,1
